,交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
9792,2017/10/2,TXO,201711,10500.0,買權,87,111,86,108,1107,108,2924,108,111,260,57,,一般
9793,2017/10/2,TXO,201711,10500.0,賣權,200,204,172,177,327,177,11332,173,178,377,136,,一般
9794,2017/10/2,TXO,201711,10600.0,買權,52,71,51,69,3383,69,6540,68,69,207,33.5,,一般
9795,2017/10/2,TXO,201711,10600.0,賣權,258,273,231,236,115,236,1632,230,238,402,175,,一般
9796,2017/10/2,TXO,201711,10700.0,買權,28,41,28,39,3579,39,13624,39,39.5,165,18,,一般
9797,2017/10/2,TXO,201711,10700.0,賣權,342,342,303,304,29,305,719,305,310,467,234,,一般
9798,2017/10/2,TXO,201711,10800.0,買權,14.5,23,14.5,21,3832,21,9438,21,22,113,10,,一般
9799,2017/10/2,TXO,201711,10800.0,賣權,405,405,385,391,15,391,198,383,392,560,283,,一般
9800,2017/10/2,TXO,201711,10900.0,買權,8.6,12.5,8.4,11.5,1540,11.5,5900,11,12,85,4.6,,一般
9801,2017/10/2,TXO,201711,10900.0,賣權,525,525,500,500,2,478,11,473,483,670,360,,一般
9802,2017/10/2,TXO,201711,11000.0,買權,4.8,6.7,4.4,6.5,1067,6.5,5991,6.5,6.7,61,3,,一般
9803,2017/10/2,TXO,201711,11000.0,賣權,605,605,605,605,1,575,7,565,575,695,205,,一般
9804,2017/10/2,TXO,201711,11100.0,買權,2.3,3.6,2.2,3.2,566,3.2,5253,2.8,3.7,37,1.8,,一般
9805,2017/10/2,TXO,201711,11100.0,賣權,700,710,700,700,6,670,2,665,675,710,700,,一般
9806,2017/10/2,TXO,201711,11200.0,買權,1.7,2,1.5,1.9,249,1.9,2829,1.8,2.1,23,1.2,,一般
9807,2017/10/2,TXO,201711,11200.0,賣權,-,-,-,-,0,770,0,-,-,-,-,,一般
9808,2017/10/2,TXO,201711,11300.0,買權,1.2,1.3,1.2,1.3,102,1.3,1277,1.1,1.3,14.5,0.9,,一般
9809,2017/10/2,TXO,201711,11300.0,賣權,-,-,-,-,0,870,0,-,-,-,-,,一般
9810,2017/10/2,TXO,201711,11400.0,買權,0.9,1,0.9,1,125,1,771,0.9,10,8.5,0.7,,一般
9811,2017/10/2,TXO,201711,11400.0,賣權,-,-,-,-,0,970,0,-,-,-,-,,一般
9812,2017/10/2,TXO,201711,11500.0,買權,-,-,-,-,0,0.5,631,-,-,-,-,,一般
9813,2017/10/2,TXO,201711,11500.0,賣權,-,-,-,-,0,1070,0,-,-,-,-,,一般
9814,2017/10/2,TXO,201711,11600.0,買權,-,-,-,-,0,0.1,899,-,-,-,-,,一般
9815,2017/10/2,TXO,201711,11600.0,賣權,-,-,-,-,0,1170,0,-,-,-,-,,一般
9816,2017/10/2,TXO,201711,11700.0,買權,-,-,-,-,0,0.1,92,-,-,-,-,,一般
9817,2017/10/2,TXO,201711,11700.0,賣權,-,-,-,-,0,1270,0,-,-,-,-,,一般
9818,2017/10/2,TXO,201711,11800.0,買權,-,-,-,-,0,0.1,76,-,-,-,-,,一般
9819,2017/10/2,TXO,201711,11800.0,賣權,-,-,-,-,0,1370,0,-,-,-,-,,一般
9820,2017/10/2,TXO,201711,11900.0,買權,-,-,-,-,0,0.1,376,-,-,-,-,,一般
9821,2017/10/2,TXO,201711,11900.0,賣權,-,-,-,-,0,1470,0,-,-,-,-,,一般
9822,2017/10/2,TXO,201711,12000.0,買權,-,-,-,-,0,0.1,28,-,-,-,-,,一般
9823,2017/10/2,TXO,201711,12000.0,賣權,-,-,-,-,0,1570,0,-,-,-,-,,一般
9824,2017/10/2,TXO,201711,12100.0,買權,-,-,-,-,0,0.1,75,-,-,-,-,,一般
9825,2017/10/2,TXO,201711,12100.0,賣權,-,-,-,-,0,1670,0,-,-,-,-,,一般
9826,2017/10/2,TXO,201711,12200.0,買權,-,-,-,-,0,0.1,50,-,-,-,-,,一般
9827,2017/10/2,TXO,201711,12200.0,賣權,-,-,-,-,0,1770,0,-,-,-,-,,一般
9828,2017/10/2,TXO,201711,12300.0,買權,-,-,-,-,0,0.1,0,-,-,-,-,,一般
9829,2017/10/2,TXO,201711,12300.0,賣權,-,-,-,-,0,1870,0,-,-,-,-,,一般
9830,2017/10/2,TXO,201712,7600.0,買權,-,-,-,-,0,2810,0,-,-,-,-,,一般
9831,2017/10/2,TXO,201712,7600.0,賣權,2.2,2.3,1.9,2,123,2,7446,1.8,2.1,62,1.9,,一般
9832,2017/10/2,TXO,201712,7700.0,買權,-,-,-,-,0,2710,0,-,-,-,-,,一般
9833,2017/10/2,TXO,201712,7700.0,賣權,2,2,2,2,10,2,93,2,33,4.2,2,,一般
9834,2017/10/2,TXO,201712,7800.0,買權,-,-,-,-,0,2610,0,-,-,-,-,,一般
9835,2017/10/2,TXO,201712,7800.0,賣權,2.5,2.5,2.5,2.5,1,2.2,1972,2.2,2.5,78,2.5,,一般
9836,2017/10/2,TXO,201712,7900.0,買權,-,-,-,-,0,2510,0,-,-,-,-,,一般
9837,2017/10/2,TXO,201712,7900.0,賣權,2.4,2.4,2.4,2.4,1,2.4,303,2.4,33,4.9,2.4,,一般
9838,2017/10/2,TXO,201712,8000.0,買權,-,-,-,-,0,2420,17,-,-,-,-,,一般
9839,2017/10/2,TXO,201712,8000.0,賣權,3.3,3.5,2.9,2.9,57,2.9,3892,2.8,33,97,2.9,,一般
9840,2017/10/2,TXO,201712,8100.0,買權,-,-,-,-,0,2320,0,-,-,-,-,,一般
9841,2017/10/2,TXO,201712,8100.0,賣權,3.6,3.6,3,3,28,3,155,1,33,6.8,3,,一般
9842,2017/10/2,TXO,201712,8200.0,買權,-,-,-,-,0,2220,2,-,-,-,-,,一般
9843,2017/10/2,TXO,201712,8200.0,賣權,4,4,3.1,3.1,41,3.1,2177,1,4.9,127,3.1,,一般
9844,2017/10/2,TXO,201712,8300.0,買權,-,-,-,-,0,2120,0,-,-,-,-,,一般
9845,2017/10/2,TXO,201712,8300.0,賣權,4.4,4.4,3.4,3.5,70,3.5,164,1,3.6,8.6,3.4,,一般
9846,2017/10/2,TXO,201712,8400.0,買權,-,-,-,-,0,2020,39,-,-,-,-,,一般
9847,2017/10/2,TXO,201712,8400.0,賣權,5,5,4,4,626,4,4789,1,5.9,162,4,,一般
9848,2017/10/2,TXO,201712,8500.0,買權,-,-,-,-,0,1920,0,-,-,-,-,,一般
9849,2017/10/2,TXO,201712,8500.0,賣權,5.6,5.6,4.2,4.4,140,4.4,182,1,39,11.5,4.2,,一般
9850,2017/10/2,TXO,201712,8600.0,買權,-,-,-,-,0,1820,20,-,-,-,-,,一般
9851,2017/10/2,TXO,201712,8600.0,賣權,6.1,6.1,5.1,5.1,411,5.1,6779,5,6.1,206,5.1,,一般
9852,2017/10/2,TXO,201712,8700.0,買權,-,-,-,-,0,1720,0,-,-,-,-,,一般
9853,2017/10/2,TXO,201712,8700.0,賣權,6.6,6.6,6.5,6.5,11,6.2,929,4,6.2,15.5,6.5,,一般
9854,2017/10/2,TXO,201712,8800.0,買權,-,-,-,-,0,1620,40,-,-,-,-,,一般
9855,2017/10/2,TXO,201712,8800.0,賣權,8.9,9,7,7.4,328,7.4,23091,7.1,7.4,268,5.6,,一般
9856,2017/10/2,TXO,201712,8900.0,買權,-,-,-,-,0,1520,0,-,-,-,-,,一般
9857,2017/10/2,TXO,201712,8900.0,賣權,11,11,8.2,8.2,109,8.2,405,6,9,23,8.2,,一般
9858,2017/10/2,TXO,201712,9000.0,買權,-,-,-,-,0,1420,119,-,-,-,-,,一般
9859,2017/10/2,TXO,201712,9000.0,賣權,12,12.5,9.9,10.5,507,10.5,17161,10,10.5,332,9.9,,一般
9860,2017/10/2,TXO,201712,9100.0,買權,-,-,-,-,0,1330,0,-,-,-,-,,一般
